#{"t_start": 1704727823.886042, "env_id": "edge_follow-v0"}
r,l,t
-43.970214,200,49.025792
-59.856392,200,95.823479
-50.364747,200,142.393565
-38.754944,200,190.468291
-51.347951,200,239.289338
-45.38457,200,289.066238
-43.325978,200,339.736995
-59.761856,200,389.186739
-52.42736,200,440.098437
-50.812788,200,489.195661
-39.23475,200,807.094682
-43.07924,200,856.730311
-40.262708,200,906.131763
-43.967298,200,956.198214
-40.720592,200,1006.154344
-39.45587,200,1056.14666
-40.537426,200,1106.02095
-46.289945,200,1155.750978
-56.011344,200,1205.979756
-44.086369,200,1255.872302
