#{"t_start": 1704727824.3429077, "env_id": "edge_follow-v0"}
r,l,t
-50.046497,200,48.563206
-55.107349,200,95.338789
-51.665101,200,141.935675
-43.980779,200,190.008004
-38.848644,200,238.835999
-39.919816,200,288.592793
-41.492973,200,339.24845
-41.7124,200,388.654759
-47.515102,200,439.633765
-45.147486,200,488.732201
-55.043411,200,806.573365
-51.740406,200,856.259889
-36.977954,200,905.674559
-44.447339,200,955.674128
-47.179818,200,1005.621659
-41.469809,200,1055.691139
-37.867272,200,1105.531112
-43.073946,200,1155.223763
-37.309337,200,1205.574862
-47.691341,200,1255.361388
