#{"t_start": 1704790728.6729765, "env_id": "edge_follow-v0"}
r,l,t
-45.532704,200,50.54527
-41.042998,200,98.774364
-52.616617,200,146.915897
-47.717519,200,194.720623
-45.756499,200,242.018038
-47.704272,200,289.523313
-57.024175,200,336.462848
-49.778462,200,384.621473
-42.224893,200,433.028494
-39.872308,200,481.008177
-43.973968,200,802.993929
-55.899906,200,851.512657
-38.056272,200,898.884135
-37.967225,200,946.130049
-37.477489,200,994.018318
-51.414991,200,1041.167305
-39.971866,200,1089.262988
-39.431426,200,1137.039652
-38.627159,200,1184.852935
-39.043211,200,1232.662869
-37.842829,200,1556.561084
-34.247443,200,1604.396477
-40.416089,200,1652.287284
-37.565814,200,1700.188007
-56.73653,200,1748.158206
-40.634371,200,1796.187782
-35.196352,200,1844.215975
-42.204768,200,1893.031804
-36.999725,200,1940.559511
-61.306218,200,1987.855927
-41.052278,200,2860.515249
-36.898024,200,2908.475432
-36.842756,200,2956.783309
-35.834763,200,3005.382692
-43.890961,200,3054.542359
-34.764267,200,3103.81666
-41.915129,200,3153.05441
-37.324383,200,3202.601004
-36.587023,200,3251.13852
-36.502453,200,3299.993034
-37.673667,200,3579.156897
-35.469693,200,3627.576388
-36.996197,200,3675.850914
-36.516762,200,3724.745294
-30.918042,200,3772.693381
-36.327409,200,3821.616532
-33.791427,200,3869.459638
-37.680114,200,3918.285055
-32.086407,200,3967.344516
-37.382821,200,4015.798225
-36.591564,200,4178.292566
-37.197766,200,4293.044529
-36.938468,200,4341.531947
-32.625159,200,4390.333287
-37.017317,200,4438.779675
-36.910383,200,4486.706822
-36.317449,200,4535.14905
-37.084285,200,4583.228858
-37.22942,200,4631.533669
-36.449502,200,4679.929031
-34.073607,200,4842.391786
-33.801044,200,4922.66564
-36.853829,200,4971.417642
-33.447941,200,5019.593375
-36.753648,200,5067.422556
-35.180191,200,5115.535669
-34.936649,200,5166.714002
-34.71245,200,5216.667964
-37.268606,200,5266.078823
-36.402405,200,5314.75353
-36.790501,200,5477.406538
-34.579013,200,5632.54143
-36.470045,200,5681.14412
-33.248978,200,5730.012409
-36.471703,200,5778.549084
-36.917848,200,5826.818093
-34.961981,200,5875.143751
-34.822547,200,5924.606362
-34.899795,200,5973.588293
-35.298811,200,6022.729472
-34.684647,200,6187.54331
-35.32977,200,6333.018367
-35.528506,200,6381.710167
-36.082385,200,6430.510193
-30.245139,200,6479.178406
-34.561303,200,6528.321625
-34.07186,200,6577.582707
-31.703186,200,6626.152573
-34.879031,200,6675.476818
-34.451163,200,6724.171743
-34.715723,200,6890.208794
-36.767122,200,6939.006484
-29.483163,200,7065.508859
-35.039248,200,7114.806085
-36.339677,200,7163.318451
-34.128008,200,7211.892725
-34.057384,200,7259.462843
-32.651009,200,7308.745139
-31.43623,200,7357.690225
-33.094942,200,7407.803967
-29.254227,200,7567.170341
-35.684705,200,7616.012375
-35.68146,200,7709.916592
-36.133582,200,7759.021774
-36.296982,200,7806.653001
-34.865617,200,7855.390244
-30.870221,200,7904.20722
-34.820579,200,7952.925781
-32.973588,200,8001.099238
-35.224929,200,8049.809543
-31.631963,200,8211.442523
-31.377963,200,8260.187671
-35.708567,200,8402.934295
-32.112413,200,8451.950621
-33.970954,200,8500.741903
-30.527669,200,8549.03342
-30.894104,200,8598.585631
-34.901888,200,8647.632098
-34.133465,200,8696.121092
-36.090002,200,8745.085386
-32.731637,200,8899.369459
-32.537677,200,8946.951232
-30.919552,200,9039.695611
-31.183316,200,9087.838333
-36.238837,200,9136.863215
-31.887233,200,9185.730449
-31.718498,200,9233.860714
-31.477379,200,9282.333315
-30.026067,200,9331.526531
-32.900871,200,9380.16218
-29.327947,200,9541.014498
-31.319792,200,9589.268851
-30.40586,200,9637.453566
-34.347095,200,9699.98648
-33.135048,200,9748.931843
-33.993306,200,9797.102393
-35.482183,200,9845.671331
-36.047946,200,9894.05697
-27.167613,200,9942.876563
-29.775163,200,9991.961813
-28.205253,200,10153.003843
-29.979058,200,10201.83825
-37.106014,200,10251.068991
-33.870901,200,10369.109554
-32.741485,200,10418.129231
-31.559491,200,10466.524843
-29.715137,200,10514.32029
-32.031981,200,10564.081675
-35.1107,200,10612.826568
-31.527394,200,10661.675668
-36.701406,200,10823.112283
-33.121204,200,10871.990152
-36.437404,200,10920.486128
-34.403399,200,11093.194552
-30.892781,200,11141.650187
-30.825034,200,11190.646328
-28.111115,200,11239.649472
-34.221505,200,11288.519716
-30.618743,200,11336.910469
-32.29423,200,11385.123514
-27.233143,200,11548.142241
-33.437273,200,11597.105792
-33.958573,200,11646.356236
-36.261329,200,11707.128569
-29.897688,200,11755.760921
-35.66714,200,11804.802742
-30.956233,200,11854.01619
-34.126609,200,11903.4619
-36.165196,200,11951.68767
-33.701597,200,11999.698937
-33.84257,200,12165.318508
-30.028194,200,12214.167841
-32.760773,200,12263.086184
-36.580175,200,12311.959208
-30.850786,200,12464.275478
-34.358364,200,12513.315262
-33.337172,200,12561.877581
-30.533108,200,12609.710231
-26.364024,200,12657.759284
-33.132092,200,12705.80189
-25.500995,200,12863.701572
-33.222277,200,12911.762675
-31.996962,200,12960.390298
-28.685948,200,13009.958045
-25.723731,200,13094.401908
-28.053249,200,13142.066335
-28.625273,200,13191.14293
-34.077167,200,13239.854043
-26.284534,200,13289.07764
-28.657407,200,13337.995002
-29.444144,200,13498.8446
-30.997008,200,13547.900306
-31.689484,200,13596.872226
-36.43918,200,13645.847753
-33.054695,200,13785.078316
-32.088002,200,13833.289256
