#{"t_start": 1704790728.5855181, "env_id": "edge_follow-v0"}
r,l,t
-43.436562,200,50.705415
-62.305449,200,98.90835
-67.486683,200,146.990735
-61.859277,200,194.880222
-50.136933,200,242.209761
-48.452684,200,289.659251
-50.267027,200,336.623283
-42.436967,200,384.775443
-47.628598,200,433.167196
-42.371141,200,481.121179
-45.607237,200,803.078248
-38.846755,200,851.619777
-38.464243,200,899.111991
-46.38853,200,946.240397
-41.738558,200,994.121118
-39.442217,200,1041.278851
-39.651657,200,1089.424022
-37.278088,200,1137.211928
-41.611128,200,1185.062778
-51.584893,200,1232.859306
-48.558206,200,1556.651214
-38.19246,200,1604.539249
-36.948783,200,1652.392718
-41.099505,200,1700.390999
-37.487213,200,1748.353145
-36.734207,200,1796.383967
-37.190954,200,1844.313039
-36.833176,200,1893.153586
-36.062049,200,1940.747265
-38.591132,200,1987.994167
-41.447459,200,2860.638223
-38.470539,200,2908.617095
-42.1054,200,2956.98489
-35.559587,200,3005.556026
-41.307706,200,3054.729467
-52.079243,200,3103.96441
-33.532197,200,3153.248775
-42.485026,200,3202.810674
-35.230284,200,3251.334994
-33.129313,200,3300.140913
-35.015099,200,3579.397634
-36.745819,200,3627.796493
-27.899305,200,3676.088489
-39.02713,200,3724.903802
-30.633084,200,3772.859796
-33.343032,200,3821.825371
-35.735935,200,3869.655097
-36.522749,200,3918.390077
-35.393228,200,3967.44199
-38.879343,200,4015.908876
-35.946286,200,4178.533808
-35.3907,200,4293.197218
-33.585802,200,4341.74586
-37.02948,200,4390.464736
-32.121107,200,4438.890099
-36.606324,200,4486.795095
-35.929312,200,4535.329093
-35.772863,200,4583.344417
-37.066741,200,4631.741778
-37.218849,200,4680.149849
-33.792268,200,4842.578714
-36.57866,200,4922.855382
-34.970845,200,4971.594272
-33.326489,200,5019.649858
-36.38202,200,5067.571764
-36.169512,200,5115.65352
-37.015067,200,5166.91362
-35.680268,200,5216.833877
-36.648717,200,5266.223778
-36.873587,200,5314.931388
-36.757496,200,5477.577745
-35.488869,200,5632.639021
-35.687842,200,5681.286279
-33.840605,200,5730.199737
-33.824778,200,5778.623003
-36.017501,200,5827.063382
-34.810375,200,5875.37391
-33.571874,200,5924.787029
-33.977197,200,5973.689669
-35.544224,200,6022.81078
-35.818974,200,6187.669374
-31.879562,200,6333.233088
-31.670926,200,6381.936003
-35.878659,200,6430.719721
-30.964509,200,6479.320053
-34.73306,200,6528.487448
-35.489956,200,6577.70707
-36.988161,200,6626.333735
-35.861067,200,6675.663421
-32.057685,200,6724.354786
-30.620048,200,6890.282377
-32.875573,200,6939.180705
-32.650116,200,7065.747895
-35.51214,200,7115.018757
-34.077113,200,7163.501119
-35.92027,200,7212.057029
-36.267908,200,7259.652581
-31.6613,200,7308.84841
-33.188794,200,7357.760747
-33.445235,200,7407.985382
-35.614409,200,7567.32782
-36.299255,200,7616.153884
-33.165435,200,7710.090212
-32.694363,200,7759.117861
-30.95834,200,7806.825858
-37.416279,200,7855.538504
-32.495927,200,7904.327911
-35.325842,200,7953.091284
-25.194272,200,8001.284079
-31.653577,200,8050.005636
-32.4379,200,8211.609884
-29.789636,200,8260.33008
-36.1069,200,8403.096447
-36.960104,200,8452.081687
-34.689112,200,8500.943272
-30.780775,200,8549.137908
-30.073493,200,8598.814263
-31.291932,200,8647.790058
-31.796026,200,8696.340518
-31.334331,200,8745.324488
-34.500532,200,8899.452927
-33.442647,200,8947.080134
-34.285202,200,9039.784719
-31.716413,200,9088.045792
-31.325861,200,9137.026022
-33.384275,200,9185.932538
-35.585155,200,9234.03661
-30.487466,200,9282.500682
-29.818411,200,9331.68593
-35.7402,200,9380.350221
-30.395531,200,9541.116934
-29.867228,200,9589.409901
-32.997887,200,9637.611866
-29.678754,200,9700.240649
-30.706318,200,9749.112849
-34.112316,200,9797.342134
-28.323457,200,9845.905997
-31.667074,200,9894.23572
-28.764582,200,9943.0641
-32.888036,200,9992.071375
-30.661175,200,10153.093716
-29.282679,200,10202.012444
-33.599481,200,10251.236669
-33.201698,200,10369.25897
-30.752364,200,10418.258679
-34.156273,200,10466.720578
-31.708059,200,10514.520218
-29.079336,200,10564.191888
-29.96478,200,10612.973833
-31.929372,200,10661.796195
-32.509139,200,10823.295493
-33.136991,200,10872.179137
-32.364982,200,10920.612989
-28.049887,200,11093.370829
-29.467713,200,11141.774998
-32.166775,200,11190.827115
-29.091902,200,11239.797242
-34.375921,200,11288.603326
-36.234368,200,11336.929721
-30.113576,200,11385.305943
-26.513977,200,11548.34191
-27.130026,200,11597.289905
-29.884682,200,11646.554865
-35.513728,200,11707.328901
-29.056024,200,11755.91808
-35.988388,200,11804.967615
-32.75195,200,11854.179225
-31.654128,200,11903.681513
-33.304413,200,11951.859856
-29.576359,200,11999.815545
-31.051299,200,12165.452983
-28.755211,200,12214.378323
-32.881066,200,12263.292178
-34.420171,200,12312.067072
-32.93178,200,12464.404134
-58.93161,200,12513.417635
-30.264916,200,12561.998091
-27.720815,200,12609.878675
-34.153843,200,12657.891179
-27.954826,200,12705.997925
-30.0688,200,12863.87386
-30.763325,200,12911.918383
-36.45737,200,12960.591178
-28.601326,200,13010.160818
-30.061423,200,13094.576397
-32.22279,200,13142.284273
-29.897756,200,13191.302582
-29.145331,200,13240.058016
-32.516013,200,13289.297682
-30.937188,200,13338.090006
-28.111818,200,13498.935231
-30.598463,200,13548.060193
-34.111275,200,13597.037781
-34.024797,200,13646.030873
-33.509516,200,13785.155601
-29.149292,200,13833.423195
-29.863834,200,13881.937259
-27.457822,200,13931.164854
-26.592505,200,13979.713919
-29.946957,200,14029.826581
-31.971705,200,14199.093959
-30.735996,200,14247.658283
-24.96116,200,14296.090784
-30.06922,200,14344.726108
-24.806599,200,14469.824924
-25.799093,200,14518.282094
-36.588492,200,14566.969766
-24.22129,200,14616.174159
-32.274076,200,14665.2258
-31.317684,200,14714.265717
-27.281394,200,14873.970829
-32.424095,200,14923.119576
-32.053923,200,14971.910433
-28.401777,200,15019.789373
-31.503896,200,15068.645932
-30.427827,200,15211.061168
-26.660363,200,15259.610569
-30.20825,200,15308.794403
-33.817577,200,15358.297202
-29.960379,200,15406.727573
-30.387448,200,15571.038606
-31.232982,200,15619.698069
-28.481466,200,15668.545068
-30.163626,200,15716.944078
-30.835105,200,15766.033888
-27.91021,200,15871.903817
-30.624811,200,15920.510035
-31.017921,200,15970.096451
-26.5304,200,16018.957878
-27.621973,200,16067.569758
-33.935757,200,16227.113467
-27.750702,200,16275.877256
-31.55961,200,16324.482055
-34.659249,200,16372.090013
-30.626199,200,16421.239519
-29.626673,200,16635.851091
-32.183325,200,16684.518682
-27.168794,200,16734.015646
-27.439494,200,16782.701436
-29.553992,200,16831.586185
-34.410808,200,16996.828859
-31.627205,200,17044.691128
-29.367527,200,17093.313781
-32.599188,200,17140.98427
-30.336583,200,17189.130799
-31.758315,200,17264.753811
-28.715054,200,17312.961929
-26.859732,200,17362.107224
-26.907952,200,17410.982266
-26.029705,200,17458.767185
-32.26901,200,17620.185637
-28.690147,200,17669.327169
-31.455321,200,17717.986763
-28.480318,200,17766.374585
-33.000569,200,17813.932818
-30.04012,200,17862.54968
-27.852369,200,18004.124285
-32.878774,200,18052.982845
-29.6528,200,18100.93913
-30.123948,200,18150.488129
-28.609025,200,18308.356921
-29.361529,200,18356.659955
-28.122111,200,18405.124212
-31.196107,200,18453.128672
-28.66039,200,18502.244742
-32.73193,200,18551.227992
-30.219335,200,18699.518017
-27.022915,200,18748.836745
-28.819015,200,18797.677028
-34.550584,200,18846.549875
-27.001629,200,19010.220211
-29.514673,200,19059.287634
-29.461769,200,19109.063822
-29.250045,200,19157.671548
-28.641346,200,19205.789815
-26.875639,200,19254.390709
-28.808994,200,19354.021901
-29.706707,200,19402.51371
-25.448972,200,19451.503754
-30.045028,200,19500.321172
-25.974843,200,19660.017478
-29.710175,200,19709.51561
-30.978104,200,19758.461339
-34.21155,200,19807.93782
-27.597099,200,19856.451185
-29.223098,200,19905.397968
-27.683469,200,20065.850698
-29.731017,200,20114.287022
-30.023572,200,20163.239331
-22.977156,200,20211.48116
-24.402378,200,20370.159806
-29.284707,200,20418.616833
-25.514955,200,20467.436277
-32.172805,200,20515.912822
-26.943665,200,20564.83954
-31.13724,200,20613.285251
-27.219998,200,20813.965867
-32.617072,200,20862.626243
-31.575576,200,20911.564724
-25.484306,200,20961.649793
-22.72689,200,21125.105518
-32.77893,200,21173.861814
-27.506813,200,21221.58447
-26.971401,200,21270.009824
-26.217739,200,21319.490661
-33.306228,200,21367.777602
-28.594939,200,21417.137331
-40.681394,200,21565.932436
-27.157839,200,21614.235723
-30.644878,200,21662.754942
-25.100145,200,21826.311141
-28.684775,200,21874.199692
-30.481979,200,21923.575093
-30.795455,200,21971.991471
-28.27672,200,22021.024356
-30.295364,200,22069.561535
-31.81742,200,22118.981151
-36.277464,200,22276.467439
-26.562564,200,22324.595958
-27.709415,200,22374.280011
-28.117529,200,22534.130022
-29.344825,200,22582.511896
-29.918652,200,22631.777302
-27.799284,200,22680.505986
-23.864255,200,22728.931015
-29.257202,200,22776.931477
-30.544313,200,22825.41428
-30.764881,200,22882.318097
-28.104198,200,22930.771582
-32.614957,200,22978.983199
-28.140686,200,23140.322323
-24.822064,200,23189.065844
-26.974959,200,23236.665181
-27.136527,200,23285.800802
-29.581644,200,23333.798354
-31.642823,200,23382.42747
-27.015218,200,23430.952853
-32.959358,200,23515.356298
-30.167114,200,23564.650273
-30.751138,200,23614.185887
-31.895646,200,23781.699237
-27.110451,200,23830.699424
-22.859483,200,23879.310074
-32.75509,200,23927.320277
-25.693999,200,23975.781483
-30.051318,200,24024.478788
-26.396017,200,24073.579149
-28.364303,200,24122.757677
-25.916278,200,24272.568946
-25.850388,200,24321.151122
-28.467207,200,24486.605466
-32.448859,200,24536.020661
-29.932716,200,24585.001017
-26.542064,200,24633.729658
-27.56827,200,24681.578854
-27.867682,200,24730.70274
-28.851869,200,24779.291129
-27.68283,200,24827.557176
-33.423924,200,25004.80133
-27.696098,200,25053.646109
-26.805922,200,25218.894669
-28.242653,200,25267.138268
-25.699069,200,25316.029836
-27.877462,200,25365.151301
-30.400994,200,25413.527039
-28.058927,200,25462.3645
-26.253796,200,25511.959498
-25.787009,200,25560.67399
-31.144761,200,25646.792457
-27.942964,200,25695.626057
-30.777746,200,25860.241668
-25.611776,200,25909.035493
-28.8177,200,25958.029194
-26.772004,200,26006.273982
-34.380094,200,26054.929444
-27.062733,200,26103.396089
-27.684895,200,26151.984791
-33.731387,200,26200.714015
-23.963166,200,26421.420918
-27.943625,200,26469.765656
-32.281043,200,26628.430743
-26.785829,200,26677.49297
-33.123676,200,26726.226264
-26.392284,200,26776.200197
-26.939703,200,26824.653612
-30.393979,200,26873.64027
-28.689442,200,26922.292322
-33.934538,200,26970.730015
-28.555341,200,27019.005026
-33.558204,200,27132.71923
-30.301989,200,27294.71042
-28.264608,200,27343.706131
-28.547005,200,27393.267982
-28.851964,200,27441.557778
-29.153011,200,27490.35134
-27.544343,200,27539.743442
-34.439625,200,27588.433934
-25.723819,200,27637.165978
-31.023274,200,27686.219535
-27.279169,200,27791.801148
-25.83633,200,27954.333889
-29.254043,200,28003.209988
